#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Covij    
pre-recon pre-recon 0 0 22.500000 22.500000 1.804654e-05
pre-recon pre-recon 0 0 22.500000 27.500000 1.574576e-06
pre-recon pre-recon 0 0 22.500000 32.500000 9.576138e-07
pre-recon pre-recon 0 0 22.500000 37.500000 -3.018089e-07
pre-recon pre-recon 0 0 22.500000 42.500000 3.723722e-07
pre-recon pre-recon 0 0 22.500000 47.500000 2.168557e-07
pre-recon pre-recon 0 0 22.500000 52.500000 3.515375e-07
pre-recon pre-recon 0 0 22.500000 57.500000 4.476737e-07
pre-recon pre-recon 0 0 22.500000 62.500000 -1.472518e-09
pre-recon pre-recon 0 0 22.500000 67.500000 2.244892e-08
pre-recon pre-recon 0 0 22.500000 72.500000 3.701655e-07
pre-recon pre-recon 0 0 22.500000 77.500000 -1.460611e-07
pre-recon pre-recon 0 0 22.500000 82.500000 -2.238582e-08
pre-recon pre-recon 0 0 22.500000 87.500000 2.792735e-07
pre-recon pre-recon 0 0 22.500000 92.500000 9.644185e-08
pre-recon pre-recon 0 0 22.500000 97.500000 1.191560e-07
pre-recon pre-recon 0 0 22.500000 102.500000 -8.479147e-08
pre-recon pre-recon 0 0 22.500000 107.500000 -1.386778e-07
pre-recon pre-recon 0 0 22.500000 112.500000 1.686958e-07
pre-recon pre-recon 0 0 22.500000 117.500000 -5.100153e-08
pre-recon pre-recon 0 0 22.500000 122.500000 7.432442e-08
pre-recon pre-recon 0 0 22.500000 127.500000 -6.562445e-08
pre-recon pre-recon 0 0 22.500000 132.500000 -2.984090e-08
pre-recon pre-recon 0 0 22.500000 137.500000 -9.856790e-08
pre-recon pre-recon 0 0 22.500000 142.500000 -1.334060e-07
pre-recon pre-recon 0 0 22.500000 147.500000 1.803308e-08
pre-recon pre-recon 0 0 22.500000 152.500000 -1.727593e-07
pre-recon pre-recon 0 0 22.500000 157.500000 -9.111928e-08
pre-recon pre-recon 0 2 22.500000 22.500000 3.484825e-07
pre-recon pre-recon 0 2 22.500000 27.500000 6.077151e-07
pre-recon pre-recon 0 2 22.500000 32.500000 -8.551434e-07
pre-recon pre-recon 0 2 22.500000 37.500000 -1.190922e-06
pre-recon pre-recon 0 2 22.500000 42.500000 1.272719e-07
pre-recon pre-recon 0 2 22.500000 47.500000 -6.717155e-07
pre-recon pre-recon 0 2 22.500000 52.500000 -9.529572e-08
pre-recon pre-recon 0 2 22.500000 57.500000 4.902863e-07
pre-recon pre-recon 0 2 22.500000 62.500000 -4.860310e-07
pre-recon pre-recon 0 2 22.500000 67.500000 -3.641479e-07
pre-recon pre-recon 0 2 22.500000 72.500000 3.798937e-07
pre-recon pre-recon 0 2 22.500000 77.500000 6.148923e-08
pre-recon pre-recon 0 2 22.500000 82.500000 -4.301803e-08
pre-recon pre-recon 0 2 22.500000 87.500000 -2.295704e-08
pre-recon pre-recon 0 2 22.500000 92.500000 -4.623557e-08
pre-recon pre-recon 0 2 22.500000 97.500000 -2.430357e-07
pre-recon pre-recon 0 2 22.500000 102.500000 4.649808e-08
pre-recon pre-recon 0 2 22.500000 107.500000 -2.682277e-07
pre-recon pre-recon 0 2 22.500000 112.500000 2.200170e-07
pre-recon pre-recon 0 2 22.500000 117.500000 1.104191e-07
pre-recon pre-recon 0 2 22.500000 122.500000 1.563341e-07
pre-recon pre-recon 0 2 22.500000 127.500000 -3.836110e-07
pre-recon pre-recon 0 2 22.500000 132.500000 -4.360568e-07
pre-recon pre-recon 0 2 22.500000 137.500000 1.870537e-09
pre-recon pre-recon 0 2 22.500000 142.500000 -1.083045e-07
pre-recon pre-recon 0 2 22.500000 147.500000 -1.223419e-07
pre-recon pre-recon 0 2 22.500000 152.500000 9.190132e-08
pre-recon pre-recon 0 2 22.500000 157.500000 6.309684e-09
pre-recon pre-recon 0 4 22.500000 22.500000 -1.687102e-06
pre-recon pre-recon 0 4 22.500000 27.500000 1.679528e-06
pre-recon pre-recon 0 4 22.500000 32.500000 7.864224e-07
pre-recon pre-recon 0 4 22.500000 37.500000 1.359980e-06
pre-recon pre-recon 0 4 22.500000 42.500000 1.058750e-06
pre-recon pre-recon 0 4 22.500000 47.500000 8.016823e-07
pre-recon pre-recon 0 4 22.500000 52.500000 5.813067e-07
pre-recon pre-recon 0 4 22.500000 57.500000 -2.578418e-07
pre-recon pre-recon 0 4 22.500000 62.500000 -5.040288e-07
pre-recon pre-recon 0 4 22.500000 67.500000 2.699242e-07
pre-recon pre-recon 0 4 22.500000 72.500000 -1.923767e-07
pre-recon pre-recon 0 4 22.500000 77.500000 6.192774e-08
pre-recon pre-recon 0 4 22.500000 82.500000 -1.395402e-08
pre-recon pre-recon 0 4 22.500000 87.500000 1.425563e-07
pre-recon pre-recon 0 4 22.500000 92.500000 -2.132506e-07
pre-recon pre-recon 0 4 22.500000 97.500000 1.892954e-07
pre-recon pre-recon 0 4 22.500000 102.500000 -6.553223e-08
pre-recon pre-recon 0 4 22.500000 107.500000 4.183647e-07
pre-recon pre-recon 0 4 22.500000 112.500000 2.381987e-08
pre-recon pre-recon 0 4 22.500000 117.500000 1.710547e-07
pre-recon pre-recon 0 4 22.500000 122.500000 -5.095418e-07
pre-recon pre-recon 0 4 22.500000 127.500000 2.410955e-08
pre-recon pre-recon 0 4 22.500000 132.500000 1.590140e-07
pre-recon pre-recon 0 4 22.500000 137.500000 3.537499e-07
pre-recon pre-recon 0 4 22.500000 142.500000 2.908862e-07
pre-recon pre-recon 0 4 22.500000 147.500000 9.414215e-08
pre-recon pre-recon 0 4 22.500000 152.500000 -2.709283e-07
pre-recon pre-recon 0 4 22.500000 157.500000 -8.668874e-08
pre-recon pre-recon 0 0 27.500000 22.500000 1.574576e-06
pre-recon pre-recon 0 0 27.500000 27.500000 1.217246e-05
pre-recon pre-recon 0 0 27.500000 32.500000 7.948218e-07
pre-recon pre-recon 0 0 27.500000 37.500000 6.095372e-07
pre-recon pre-recon 0 0 27.500000 42.500000 6.368113e-07
pre-recon pre-recon 0 0 27.500000 47.500000 1.046498e-06
pre-recon pre-recon 0 0 27.500000 52.500000 4.407640e-07
pre-recon pre-recon 0 0 27.500000 57.500000 3.735909e-07
pre-recon pre-recon 0 0 27.500000 62.500000 1.934614e-07
pre-recon pre-recon 0 0 27.500000 67.500000 4.557530e-07
pre-recon pre-recon 0 0 27.500000 72.500000 1.367200e-07
pre-recon pre-recon 0 0 27.500000 77.500000 2.209044e-07
pre-recon pre-recon 0 0 27.500000 82.500000 -8.957786e-08
pre-recon pre-recon 0 0 27.500000 87.500000 4.384504e-08
pre-recon pre-recon 0 0 27.500000 92.500000 1.050319e-07
pre-recon pre-recon 0 0 27.500000 97.500000 -1.587873e-08
pre-recon pre-recon 0 0 27.500000 102.500000 3.905365e-08
pre-recon pre-recon 0 0 27.500000 107.500000 7.156911e-08
pre-recon pre-recon 0 0 27.500000 112.500000 1.898454e-07
pre-recon pre-recon 0 0 27.500000 117.500000 2.311227e-08
pre-recon pre-recon 0 0 27.500000 122.500000 1.027032e-08
pre-recon pre-recon 0 0 27.500000 127.500000 1.781449e-07
pre-recon pre-recon 0 0 27.500000 132.500000 -6.172517e-08
pre-recon pre-recon 0 0 27.500000 137.500000 2.137001e-07
pre-recon pre-recon 0 0 27.500000 142.500000 3.956757e-08
pre-recon pre-recon 0 0 27.500000 147.500000 -2.918649e-08
pre-recon pre-recon 0 0 27.500000 152.500000 -5.281095e-08
pre-recon pre-recon 0 0 27.500000 157.500000 7.861049e-08
pre-recon pre-recon 0 2 27.500000 22.500000 -1.549609e-07
pre-recon pre-recon 0 2 27.500000 27.500000 -9.300125e-07
pre-recon pre-recon 0 2 27.500000 32.500000 1.355805e-08
pre-recon pre-recon 0 2 27.500000 37.500000 2.781025e-07
pre-recon pre-recon 0 2 27.500000 42.500000 -1.070773e-06
pre-recon pre-recon 0 2 27.500000 47.500000 -7.688284e-07
pre-recon pre-recon 0 2 27.500000 52.500000 -2.489871e-07
pre-recon pre-recon 0 2 27.500000 57.500000 -1.021538e-07
pre-recon pre-recon 0 2 27.500000 62.500000 -2.199765e-07
pre-recon pre-recon 0 2 27.500000 67.500000 -3.030599e-08
pre-recon pre-recon 0 2 27.500000 72.500000 2.110056e-07
pre-recon pre-recon 0 2 27.500000 77.500000 -3.119539e-07
pre-recon pre-recon 0 2 27.500000 82.500000 4.183052e-07
pre-recon pre-recon 0 2 27.500000 87.500000 -1.788842e-07
pre-recon pre-recon 0 2 27.500000 92.500000 8.337708e-09
pre-recon pre-recon 0 2 27.500000 97.500000 2.691327e-08
pre-recon pre-recon 0 2 27.500000 102.500000 -4.692497e-07
pre-recon pre-recon 0 2 27.500000 107.500000 3.376649e-07
pre-recon pre-recon 0 2 27.500000 112.500000 -8.666743e-08
pre-recon pre-recon 0 2 27.500000 117.500000 2.508536e-08
pre-recon pre-recon 0 2 27.500000 122.500000 -2.077246e-07
pre-recon pre-recon 0 2 27.500000 127.500000 -4.942076e-07
pre-recon pre-recon 0 2 27.500000 132.500000 1.449006e-08
pre-recon pre-recon 0 2 27.500000 137.500000 -7.018413e-08
pre-recon pre-recon 0 2 27.500000 142.500000 -8.829597e-09
pre-recon pre-recon 0 2 27.500000 147.500000 -1.244411e-07
pre-recon pre-recon 0 2 27.500000 152.500000 6.593186e-08
pre-recon pre-recon 0 2 27.500000 157.500000 5.126192e-08
pre-recon pre-recon 0 4 27.500000 22.500000 -3.642162e-07
pre-recon pre-recon 0 4 27.500000 27.500000 -1.116502e-06
pre-recon pre-recon 0 4 27.500000 32.500000 -9.027742e-07
pre-recon pre-recon 0 4 27.500000 37.500000 3.642625e-07
pre-recon pre-recon 0 4 27.500000 42.500000 -5.343461e-07
pre-recon pre-recon 0 4 27.500000 47.500000 -2.321507e-07
pre-recon pre-recon 0 4 27.500000 52.500000 -2.746372e-07
pre-recon pre-recon 0 4 27.500000 57.500000 -1.067757e-06
pre-recon pre-recon 0 4 27.500000 62.500000 -6.873475e-07
pre-recon pre-recon 0 4 27.500000 67.500000 -2.764176e-08
pre-recon pre-recon 0 4 27.500000 72.500000 4.257990e-07
pre-recon pre-recon 0 4 27.500000 77.500000 -3.241408e-08
pre-recon pre-recon 0 4 27.500000 82.500000 -6.877677e-08
pre-recon pre-recon 0 4 27.500000 87.500000 -7.554997e-07
pre-recon pre-recon 0 4 27.500000 92.500000 -6.013929e-07
pre-recon pre-recon 0 4 27.500000 97.500000 -7.412971e-08
pre-recon pre-recon 0 4 27.500000 102.500000 2.666953e-07
pre-recon pre-recon 0 4 27.500000 107.500000 -9.030597e-08
pre-recon pre-recon 0 4 27.500000 112.500000 -2.577650e-07
pre-recon pre-recon 0 4 27.500000 117.500000 -8.536818e-08
pre-recon pre-recon 0 4 27.500000 122.500000 1.723614e-07
pre-recon pre-recon 0 4 27.500000 127.500000 -2.797789e-07
pre-recon pre-recon 0 4 27.500000 132.500000 -4.445351e-10
pre-recon pre-recon 0 4 27.500000 137.500000 3.006554e-07
pre-recon pre-recon 0 4 27.500000 142.500000 4.233228e-09
pre-recon pre-recon 0 4 27.500000 147.500000 -8.336734e-09
pre-recon pre-recon 0 4 27.500000 152.500000 6.910693e-08
pre-recon pre-recon 0 4 27.500000 157.500000 -6.923897e-08
pre-recon pre-recon 0 0 32.500000 22.500000 9.576138e-07
pre-recon pre-recon 0 0 32.500000 27.500000 7.948218e-07
pre-recon pre-recon 0 0 32.500000 32.500000 8.297282e-06
pre-recon pre-recon 0 0 32.500000 37.500000 5.563640e-07
pre-recon pre-recon 0 0 32.500000 42.500000 7.853916e-07
pre-recon pre-recon 0 0 32.500000 47.500000 3.555382e-07
pre-recon pre-recon 0 0 32.500000 52.500000 4.584708e-07
pre-recon pre-recon 0 0 32.500000 57.500000 2.308268e-07
pre-recon pre-recon 0 0 32.500000 62.500000 5.968369e-08
pre-recon pre-recon 0 0 32.500000 67.500000 1.414462e-07
pre-recon pre-recon 0 0 32.500000 72.500000 3.078263e-09
pre-recon pre-recon 0 0 32.500000 77.500000 1.377444e-07
pre-recon pre-recon 0 0 32.500000 82.500000 1.466952e-07
pre-recon pre-recon 0 0 32.500000 87.500000 2.441820e-08
pre-recon pre-recon 0 0 32.500000 92.500000 4.701337e-09
pre-recon pre-recon 0 0 32.500000 97.500000 -5.555279e-08
pre-recon pre-recon 0 0 32.500000 102.500000 7.690449e-08
pre-recon pre-recon 0 0 32.500000 107.500000 2.306127e-08
pre-recon pre-recon 0 0 32.500000 112.500000 5.614808e-08
pre-recon pre-recon 0 0 32.500000 117.500000 1.004669e-07
pre-recon pre-recon 0 0 32.500000 122.500000 1.043667e-07
pre-recon pre-recon 0 0 32.500000 127.500000 3.461983e-08
pre-recon pre-recon 0 0 32.500000 132.500000 -3.263724e-08
pre-recon pre-recon 0 0 32.500000 137.500000 6.369076e-08
pre-recon pre-recon 0 0 32.500000 142.500000 -4.761141e-08
pre-recon pre-recon 0 0 32.500000 147.500000 4.727643e-08
pre-recon pre-recon 0 0 32.500000 152.500000 2.987928e-08
pre-recon pre-recon 0 0 32.500000 157.500000 5.755300e-08
pre-recon pre-recon 0 2 32.500000 22.500000 4.082162e-07
pre-recon pre-recon 0 2 32.500000 27.500000 -2.228224e-07
pre-recon pre-recon 0 2 32.500000 32.500000 -1.697974e-06
pre-recon pre-recon 0 2 32.500000 37.500000 6.026101e-07
pre-recon pre-recon 0 2 32.500000 42.500000 3.854593e-08
pre-recon pre-recon 0 2 32.500000 47.500000 -3.057745e-07
pre-recon pre-recon 0 2 32.500000 52.500000 1.717123e-07
pre-recon pre-recon 0 2 32.500000 57.500000 2.680266e-07
pre-recon pre-recon 0 2 32.500000 62.500000 -2.189555e-08
pre-recon pre-recon 0 2 32.500000 67.500000 -6.171412e-08
pre-recon pre-recon 0 2 32.500000 72.500000 7.110747e-08
pre-recon pre-recon 0 2 32.500000 77.500000 1.460820e-07
pre-recon pre-recon 0 2 32.500000 82.500000 -7.136151e-07
pre-recon pre-recon 0 2 32.500000 87.500000 -1.320634e-08
pre-recon pre-recon 0 2 32.500000 92.500000 2.528140e-08
pre-recon pre-recon 0 2 32.500000 97.500000 -1.684789e-07
pre-recon pre-recon 0 2 32.500000 102.500000 -1.822381e-07
pre-recon pre-recon 0 2 32.500000 107.500000 -1.477044e-07
pre-recon pre-recon 0 2 32.500000 112.500000 -1.924665e-07
pre-recon pre-recon 0 2 32.500000 117.500000 -1.949647e-08
pre-recon pre-recon 0 2 32.500000 122.500000 1.121250e-08
