#s xi0 xi0_err xi2 xi2_err xi4 xi4_err
22.50 0.1272 0.0042 -0.0635 0.0089 0.0094 0.0118
27.50 0.0810 0.0034 -0.0587 0.0071 -0.0059 0.0097
32.50 0.0503 0.0029 -0.0414 0.0062 0.0069 0.0081
37.50 0.0339 0.0024 -0.0435 0.0054 0.0017 0.0073
42.50 0.0226 0.0022 -0.0370 0.0047 -0.0077 0.0062
47.50 0.0184 0.0020 -0.0220 0.0042 0.0037 0.0060
52.50 0.0147 0.0018 -0.0184 0.0037 -0.0104 0.0052
57.50 0.0075 0.0016 -0.0188 0.0037 -0.0028 0.0048
62.50 0.0070 0.0016 -0.0181 0.0033 -0.0030 0.0043
67.50 0.0032 0.0014 -0.0105 0.0030 -0.0002 0.0041
72.50 0.0019 0.0013 -0.0128 0.0028 0.0045 0.0037
77.50 0.0012 0.0012 -0.0124 0.0026 0.0024 0.0036
82.50 0.0011 0.0012 -0.0059 0.0025 0.0001 0.0032
87.50 0.0021 0.0011 -0.0052 0.0024 0.0083 0.0032
92.50 0.0014 0.0010 -0.0079 0.0023 0.0030 0.0030
97.50 0.0059 0.0010 -0.0047 0.0021 0.0032 0.0030
102.50 0.0036 0.0009 -0.0059 0.0020 0.0012 0.0028
107.50 0.0029 0.0009 -0.0027 0.0019 0.0011 0.0026
112.50 0.0020 0.0008 -0.0028 0.0019 -0.0002 0.0025
117.50 0.0005 0.0008 -0.0057 0.0019 -0.0008 0.0025
122.50 -0.0006 0.0008 -0.0055 0.0018 0.0018 0.0023
127.50 -0.0014 0.0008 -0.0014 0.0016 0.0011 0.0022
132.50 -0.0006 0.0007 -0.0026 0.0016 -0.0016 0.0022
137.50 0.0003 0.0007 -0.0020 0.0015 -0.0007 0.0020
142.50 -0.0009 0.0007 -0.0002 0.0015 -0.0001 0.0020
147.50 0.0004 0.0007 -0.0043 0.0015 -0.0018 0.0020
152.50 -0.0001 0.0006 -0.0010 0.0014 -0.0012 0.0019
157.50 0.0003 0.0006 -0.0026 0.0014 0.0002 0.0018
