  #s              xi0                  xi2                  xi4
  0.22500000E+02    0.12765408E+00      -0.71950366E-01       0.26043333E-02 
  0.27500000E+02    0.78973447E-01      -0.59084401E-01       0.90138018E-03 
  0.32500000E+02    0.50989093E-01      -0.47749779E-01       0.22397216E-03 
  0.37500000E+02    0.34061516E-01      -0.38728454E-01       0.47979789E-04 
  0.42500000E+02    0.23440751E-01      -0.31653986E-01       0.24513570E-03 
  0.47500000E+02    0.16432790E-01      -0.26091895E-01       0.32317104E-03 
  0.52500000E+02    0.11598055E-01      -0.21718162E-01       0.34914980E-03 
  0.57500000E+02    0.81915059E-02      -0.18213769E-01       0.31054436E-03 
  0.62500000E+02    0.58092761E-02      -0.15399569E-01       0.31535364E-03 
  0.67500000E+02    0.41007293E-02      -0.13107663E-01       0.32895657E-03 
  0.72500000E+02    0.28292178E-02      -0.11169618E-01       0.32423891E-03 
  0.77500000E+02    0.19358112E-02      -0.94391834E-02       0.30387697E-03 
  0.82500000E+02    0.15373513E-02      -0.78634567E-02       0.26093018E-03 
  0.87500000E+02    0.16779961E-02      -0.65940569E-02       0.21023581E-03 
  0.92500000E+02    0.21701917E-02      -0.57906837E-02       0.19888179E-03 
  0.97500000E+02    0.25240952E-02      -0.51964688E-02       0.18361710E-03 
  0.10250000E+03    0.23438891E-02      -0.45609921E-02       0.15097642E-03 
  0.10750000E+03    0.16882091E-02      -0.39821001E-02       0.16194018E-03 
  0.11250000E+03    0.89784759E-03      -0.36095537E-02       0.13725178E-03 
  0.11750000E+03    0.23647921E-03      -0.33987950E-02       0.13605399E-03 
  0.12250000E+03   -0.20602459E-03      -0.32292542E-02       0.11961215E-03 
  0.12750000E+03   -0.46933384E-03      -0.30300634E-02       0.96337211E-04 
  0.13250000E+03   -0.59807648E-03      -0.27919383E-02       0.73831482E-04 
  0.13750000E+03   -0.63911737E-03      -0.25454430E-02       0.58313277E-04 
  0.14250000E+03   -0.63167907E-03      -0.23078630E-02       0.48826686E-04 
  0.14750000E+03   -0.60680030E-03      -0.20768038E-02       0.40301861E-04 
  0.15250000E+03   -0.57586726E-03      -0.18608198E-02       0.33272366E-04 
  0.15750000E+03   -0.54143644E-03      -0.16689530E-02       0.28614733E-04 
