#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Cov^-1_ij    
pre-recon pre-recon 0 0 22.500000 22.500000 5.569439e+04
pre-recon pre-recon 0 0 22.500000 27.500000 -6.823486e+03
pre-recon pre-recon 0 0 22.500000 32.500000 -5.901121e+03
pre-recon pre-recon 0 0 22.500000 37.500000 5.207956e+03
pre-recon pre-recon 0 0 22.500000 42.500000 -2.846244e+03
pre-recon pre-recon 0 0 22.500000 47.500000 -4.613752e+02
pre-recon pre-recon 0 0 22.500000 52.500000 -4.200609e+03
pre-recon pre-recon 0 0 22.500000 57.500000 -7.594023e+03
pre-recon pre-recon 0 0 22.500000 62.500000 5.170295e+02
pre-recon pre-recon 0 0 22.500000 67.500000 2.604918e+03
pre-recon pre-recon 0 0 22.500000 72.500000 -1.318916e+04
pre-recon pre-recon 0 0 22.500000 77.500000 1.023759e+04
pre-recon pre-recon 0 0 22.500000 82.500000 6.284461e+03
pre-recon pre-recon 0 0 22.500000 87.500000 -1.354148e+04
pre-recon pre-recon 0 0 22.500000 92.500000 -2.650044e+03
pre-recon pre-recon 0 0 22.500000 97.500000 -5.974905e+03
pre-recon pre-recon 0 0 22.500000 102.500000 8.804272e+03
pre-recon pre-recon 0 0 22.500000 107.500000 1.366802e+04
pre-recon pre-recon 0 0 22.500000 112.500000 -1.671627e+04
pre-recon pre-recon 0 0 22.500000 117.500000 8.159670e+03
pre-recon pre-recon 0 0 22.500000 122.500000 -6.772015e+03
pre-recon pre-recon 0 0 22.500000 127.500000 4.589080e+03
pre-recon pre-recon 0 0 22.500000 132.500000 -7.487438e+03
pre-recon pre-recon 0 0 22.500000 137.500000 1.045314e+04
pre-recon pre-recon 0 0 22.500000 142.500000 7.873451e+03
pre-recon pre-recon 0 0 22.500000 147.500000 -1.417475e+04
pre-recon pre-recon 0 0 22.500000 152.500000 2.001432e+04
pre-recon pre-recon 0 0 22.500000 157.500000 9.366732e+03
pre-recon pre-recon 0 2 22.500000 22.500000 -9.216715e+01
pre-recon pre-recon 0 2 22.500000 27.500000 -1.087547e+03
pre-recon pre-recon 0 2 22.500000 32.500000 9.275414e+02
pre-recon pre-recon 0 2 22.500000 37.500000 2.675676e+03
pre-recon pre-recon 0 2 22.500000 42.500000 -5.283647e+02
pre-recon pre-recon 0 2 22.500000 47.500000 8.276720e+02
pre-recon pre-recon 0 2 22.500000 52.500000 -7.189873e+01
pre-recon pre-recon 0 2 22.500000 57.500000 -1.527363e+03
pre-recon pre-recon 0 2 22.500000 62.500000 3.601470e+03
pre-recon pre-recon 0 2 22.500000 67.500000 2.577084e+03
pre-recon pre-recon 0 2 22.500000 72.500000 -1.344708e+03
pre-recon pre-recon 0 2 22.500000 77.500000 -1.019994e+03
pre-recon pre-recon 0 2 22.500000 82.500000 -1.749691e+03
pre-recon pre-recon 0 2 22.500000 87.500000 -5.723307e+02
pre-recon pre-recon 0 2 22.500000 92.500000 1.125406e+03
pre-recon pre-recon 0 2 22.500000 97.500000 3.165260e+03
pre-recon pre-recon 0 2 22.500000 102.500000 -7.167000e+02
pre-recon pre-recon 0 2 22.500000 107.500000 2.600551e+03
pre-recon pre-recon 0 2 22.500000 112.500000 -4.990198e+03
pre-recon pre-recon 0 2 22.500000 117.500000 -1.142112e+03
pre-recon pre-recon 0 2 22.500000 122.500000 -6.235518e+03
pre-recon pre-recon 0 2 22.500000 127.500000 8.205760e+03
pre-recon pre-recon 0 2 22.500000 132.500000 9.162077e+03
pre-recon pre-recon 0 2 22.500000 137.500000 -8.886618e+02
pre-recon pre-recon 0 2 22.500000 142.500000 2.489780e+03
pre-recon pre-recon 0 2 22.500000 147.500000 7.669061e+02
pre-recon pre-recon 0 2 22.500000 152.500000 -2.134468e+03
pre-recon pre-recon 0 2 22.500000 157.500000 5.799386e+01
pre-recon pre-recon 0 4 22.500000 22.500000 6.042374e+02
pre-recon pre-recon 0 4 22.500000 27.500000 -1.234127e+03
pre-recon pre-recon 0 4 22.500000 32.500000 -6.784654e+02
pre-recon pre-recon 0 4 22.500000 37.500000 -1.062521e+03
pre-recon pre-recon 0 4 22.500000 42.500000 -1.893427e+03
pre-recon pre-recon 0 4 22.500000 47.500000 -1.389392e+03
pre-recon pre-recon 0 4 22.500000 52.500000 -1.070467e+03
pre-recon pre-recon 0 4 22.500000 57.500000 8.837193e+02
pre-recon pre-recon 0 4 22.500000 62.500000 2.661932e+03
pre-recon pre-recon 0 4 22.500000 67.500000 -1.401449e+03
pre-recon pre-recon 0 4 22.500000 72.500000 1.839433e+03
pre-recon pre-recon 0 4 22.500000 77.500000 6.078952e+02
pre-recon pre-recon 0 4 22.500000 82.500000 8.164898e+00
pre-recon pre-recon 0 4 22.500000 87.500000 -5.250105e+02
pre-recon pre-recon 0 4 22.500000 92.500000 8.504597e+02
pre-recon pre-recon 0 4 22.500000 97.500000 -4.791701e+02
pre-recon pre-recon 0 4 22.500000 102.500000 1.866721e+03
pre-recon pre-recon 0 4 22.500000 107.500000 -4.654268e+03
pre-recon pre-recon 0 4 22.500000 112.500000 -2.254735e+01
pre-recon pre-recon 0 4 22.500000 117.500000 -1.590914e+03
pre-recon pre-recon 0 4 22.500000 122.500000 5.437498e+03
pre-recon pre-recon 0 4 22.500000 127.500000 -2.130879e+02
pre-recon pre-recon 0 4 22.500000 132.500000 -6.985473e+02
pre-recon pre-recon 0 4 22.500000 137.500000 -4.650789e+03
pre-recon pre-recon 0 4 22.500000 142.500000 -3.952602e+03
pre-recon pre-recon 0 4 22.500000 147.500000 -1.052961e+03
pre-recon pre-recon 0 4 22.500000 152.500000 5.817276e+03
pre-recon pre-recon 0 4 22.500000 157.500000 7.832946e+02
pre-recon pre-recon 0 0 27.500000 22.500000 -6.823486e+03
pre-recon pre-recon 0 0 27.500000 27.500000 8.533903e+04
pre-recon pre-recon 0 0 27.500000 32.500000 -5.793137e+03
pre-recon pre-recon 0 0 27.500000 37.500000 -3.520965e+03
pre-recon pre-recon 0 0 27.500000 42.500000 -5.451974e+03
pre-recon pre-recon 0 0 27.500000 47.500000 -1.804915e+04
pre-recon pre-recon 0 0 27.500000 52.500000 -7.599526e+02
pre-recon pre-recon 0 0 27.500000 57.500000 -4.967569e+03
